query_id,candidate_id,llm_score
1,a,5.0
1,d,5.0
1,f,5.0
1,c,4.0
1,b,1.0
1,g,1.0
1,e,0.0
2,a,5.0
2,b,5.0
2,c,5.0
2,f,5.0
2,d,1.0
2,e,0.0
3,a,5.0
3,d,4.0
3,e,4.0
3,b,2.0
3,c,0.0
4,a,5.0
4,c,5.0
4,b,4.0
4,e,4.0
4,d,0.0
5,a,5.0
5,b,5.0
5,c,5.0
5,e,5.0
5,d,0.0
6,a,5.0
6,c,5.0
6,b,4.0
6,e,4.0
6,d,0.0
7,a,5.0
7,b,5.0
7,e,4.0
7,c,3.0
7,d,0.0
8,a,5.0
8,b,5.0
8,e,4.0
8,c,3.0
8,d,0.0
9,a,5.0
9,b,5.0
9,c,4.0
9,e,4.0
9,d,1.0
10,a,5.0
10,b,5.0
10,c,5.0
10,e,4.0
10,d,0.0
11,a,5.0
11,b,5.0
11,c,3.0
11,e,1.0
11,d,0.0
12,a,5.0
12,b,5.0
12,c,5.0
12,d,5.0
12,e,0.0
13,a,5.0
13,b,5.0
13,c,5.0
13,d,2.0
13,e,2.0
14,b,5.0
14,c,5.0
14,d,4.0
14,e,4.0
14,a,0.0
15,c,5.0
15,d,5.0
15,e,5.0
15,b,4.0
15,a,0.0
16,c,5.0
16,d,5.0
16,b,4.0
16,e,4.0
16,a,0.0
17,c,5.0
17,b,4.0
17,d,3.0
17,e,2.0
17,a,0.0
18,c,5.0
18,d,5.0
18,e,5.0
18,b,2.0
18,a,0.0
19,e,5.0
19,a,4.0
19,b,4.0
19,d,4.0
19,c,0.0
20,a,5.0
20,b,5.0
20,d,4.0
20,c,0.0
20,e,0.0
